                       	strsep
Length   16/4, alignment 15/ 9, found:	23.5472
Length   16/4, alignment 15/ 9, fail:	5.69946
Length   16/4, alignment 15/15, found:	25.7124
Length   16/4, alignment 15/15, fail:	5.95862
Length   20/4, alignment  0/ 0, found:	24.3774
Length   20/4, alignment  0/ 0, fail:	5.69092
Length   20/4, alignment  0/ 3, found:	24.0901
Length   20/4, alignment  0/ 3, fail:	5.68848
Length   20/4, alignment  0/ 9, found:	24.0876
Length   20/4, alignment  0/ 9, fail:	5.68713
Length   20/4, alignment  0/15, found:	24.3602
Length   20/4, alignment  0/15, fail:	6.2301
Length   20/4, alignment  3/ 0, found:	24.623
Length   20/4, alignment  3/ 0, fail:	5.42078
Length   20/4, alignment  3/ 3, found:	23.6818
Length   20/4, alignment  3/ 3, fail:	5.69458
Length   20/4, alignment  3/ 9, found:	23.5497
Length   20/4, alignment  3/ 9, fail:	5.68604
Length   20/4, alignment  3/15, found:	24.0852
Length   20/4, alignment  3/15, fail:	6.422
Length   20/4, alignment  9/ 0, found:	23.2783
Length   20/4, alignment  9/ 0, fail:	5.41589
Length   20/4, alignment  9/ 3, found:	23.5497
Length   20/4, alignment  9/ 3, fail:	5.68604
Length   20/4, alignment  9/ 9, found:	23.5472
Length   20/4, alignment  9/ 9, fail:	5.68604
Length   20/4, alignment  9/15, found:	24.3615
Length   20/4, alignment  9/15, fail:	5.95984
Length   20/4, alignment 15/ 0, found:	23.7271
Length   20/4, alignment 15/ 0, fail:	6.23242
Length   20/4, alignment 15/ 3, found:	23.546
Length   20/4, alignment 15/ 3, fail:	6.50269
Length   20/4, alignment 15/ 9, found:	23.5474
Length   20/4, alignment 15/ 9, fail:	6.50269
Length   20/4, alignment 15/15, found:	24.3604
Length   20/4, alignment 15/15, fail:	7.27405
Length   24/4, alignment  0/ 0, found:	25.1403
Length   24/4, alignment  0/ 0, fail:	5.69092
Length   24/4, alignment  0/ 3, found:	24.0974
Length   24/4, alignment  0/ 3, fail:	5.6908
Length   24/4, alignment  0/ 9, found:	23.9984
Length   24/4, alignment  0/ 9, fail:	5.68604
Length   24/4, alignment  0/15, found:	24.3616
Length   24/4, alignment  0/15, fail:	6.70081
Length   24/4, alignment  3/ 0, found:	23.5485
Length   24/4, alignment  3/ 0, fail:	5.42065
Length   24/4, alignment  3/ 3, found:	23.5509
Length   24/4, alignment  3/ 3, fail:	5.69092
Length   24/4, alignment  3/ 9, found:	24.8969
Length   24/4, alignment  3/ 9, fail:	5.6897
Length   24/4, alignment  3/15, found:	25.1696
Length   24/4, alignment  3/15, fail:	6.68726
Length   24/4, alignment  9/ 0, found:	23.5485
Length   24/4, alignment  9/ 0, fail:	6.50146
Length   24/4, alignment  9/ 3, found:	23.5485
Length   24/4, alignment  9/ 3, fail:	6.2312
Length   24/4, alignment  9/ 9, found:	23.5608
Length   24/4, alignment  9/ 9, fail:	6.50146
Length   24/4, alignment  9/15, found:	25.1195
Length   24/4, alignment  9/15, fail:	6.77283
Length   24/4, alignment 15/ 0, found:	23.282
Length   24/4, alignment 15/ 0, fail:	6.22998
Length   24/4, alignment 15/ 3, found:	23.5582
Length   24/4, alignment 15/ 3, fail:	6.50024
Length   24/4, alignment 15/ 9, found:	23.5486
Length   24/4, alignment 15/ 9, fail:	6.49902
Length   24/4, alignment 15/15, found:	26.952
Length   24/4, alignment 15/15, fail:	6.77173
Length   28/4, alignment  0/ 0, found:	25.0057
Length   28/4, alignment  0/ 0, fail:	5.68848
Length   28/4, alignment  0/ 3, found:	24.0864
Length   28/4, alignment  0/ 3, fail:	5.68848
Length   28/4, alignment  0/ 9, found:	24.1586
Length   28/4, alignment  0/ 9, fail:	5.68604
Length   28/4, alignment  0/15, found:	24.8199
Length   28/4, alignment  0/15, fail:	6.2301
Length   28/4, alignment  3/ 0, found:	23.2771
Length   28/4, alignment  3/ 0, fail:	5.41833
Length   28/4, alignment  3/ 3, found:	23.5472
Length   28/4, alignment  3/ 3, fail:	5.69092
Length   28/4, alignment  3/ 9, found:	23.595
Length   28/4, alignment  3/ 9, fail:	5.69336
Length   28/4, alignment  3/15, found:	25.3604
Length   28/4, alignment  3/15, fail:	5.96118
Length   28/4, alignment  9/ 0, found:	23.2771
Length   28/4, alignment  9/ 0, fail:	5.96484
Length   28/4, alignment  9/ 3, found:	23.5448
Length   28/4, alignment  9/ 3, fail:	6.50024
Length   28/4, alignment  9/ 9, found:	23.5485
Length   28/4, alignment  9/ 9, fail:	6.50024
Length   28/4, alignment  9/15, found:	26.1232
Length   28/4, alignment  9/15, fail:	6.77161
Length   28/4, alignment 15/ 0, found:	23.2771
Length   28/4, alignment 15/ 0, fail:	6.22766
Length   28/4, alignment 15/ 3, found:	23.5497
Length   28/4, alignment 15/ 3, fail:	6.49902
Length   28/4, alignment 15/ 9, found:	23.5474
Length   28/4, alignment 15/ 9, fail:	6.4978
Length   28/4, alignment 15/15, found:	26.1892
Length   28/4, alignment 15/15, fail:	6.76929
Length   20/5, alignment  0/ 0, found:	25.0057
Length   20/5, alignment  0/ 0, fail:	5.68848
Length   20/5, alignment  0/ 3, found:	24.0852
Length   20/5, alignment  0/ 3, fail:	5.68848
Length   20/5, alignment  0/ 9, found:	24.0876
Length   20/5, alignment  0/ 9, fail:	5.68848
Length   20/5, alignment  0/15, found:	24.8199
Length   20/5, alignment  0/15, fail:	6.23132
Length   20/5, alignment  3/ 0, found:	24.6305
Length   20/5, alignment  3/ 0, fail:	5.41943
Length   20/5, alignment  3/ 3, found:	24.6267
Length   20/5, alignment  3/ 3, fail:	5.69092
Length   20/5, alignment  3/ 9, found:	23.8175
Length   20/5, alignment  3/ 9, fail:	5.68726
Length   20/5, alignment  3/15, found:	24.0583
Length   20/5, alignment  3/15, fail:	5.96106
Length   20/5, alignment  9/ 0, found:	23.2783
Length   20/5, alignment  9/ 0, fail:	5.41589
Length   20/5, alignment  9/ 3, found:	23.5472
Length   20/5, alignment  9/ 3, fail:	5.6897
Length   20/5, alignment  9/ 9, found:	23.5474
Length   20/5, alignment  9/ 9, fail:	5.6897
Length   20/5, alignment  9/15, found:	24.787
Length   20/5, alignment  9/15, fail:	5.95874
Length   20/5, alignment 15/ 0, found:	23.2771
Length   20/5, alignment 15/ 0, fail:	6.2312
Length   20/5, alignment 15/ 3, found:	23.5461
Length   20/5, alignment 15/ 3, fail:	6.50146
Length   20/5, alignment 15/ 9, found:	23.5497
Length   20/5, alignment 15/ 9, fail:	6.50024
Length   20/5, alignment 15/15, found:	25.8628
Length   20/5, alignment 15/15, fail:	6.77161
Length   25/5, alignment  0/ 0, found:	25.0057
Length   25/5, alignment  0/ 0, fail:	5.68958
Length   25/5, alignment  0/ 3, found:	24.0876
Length   25/5, alignment  0/ 3, fail:	5.6897
Length   25/5, alignment  0/ 9, found:	24.0864
Length   25/5, alignment  0/ 9, fail:	5.68726
Length   25/5, alignment  0/15, found:	24.8506
Length   25/5, alignment  0/15, fail:	6.23376
Length   25/5, alignment  3/ 0, found:	24.6281
Length   25/5, alignment  3/ 0, fail:	5.41956
Length   25/5, alignment  3/ 3, found:	23.8163
Length   25/5, alignment  3/ 3, fail:	5.68726
Length   25/5, alignment  3/ 9, found:	24.9226
Length   25/5, alignment  3/ 9, fail:	6.21912
Length   25/5, alignment  3/15, found:	23.5486
Length   25/5, alignment  3/15, fail:	5.96228
Length   25/5, alignment  9/ 0, found:	23.2783
Length   25/5, alignment  9/ 0, fail:	6.23132
Length   25/5, alignment  9/ 3, found:	23.5472
Length   25/5, alignment  9/ 3, fail:	6.23254
Length   25/5, alignment  9/ 9, found:	23.5474
Length   25/5, alignment  9/ 9, fail:	7.12122
Length   25/5, alignment  9/15, found:	25.71
Length   25/5, alignment  9/15, fail:	6.77173
Length   25/5, alignment 15/ 0, found:	23.2771
Length   25/5, alignment 15/ 0, fail:	6.22876
Length   25/5, alignment 15/ 3, found:	23.5729
Length   25/5, alignment 15/ 3, fail:	6.4978
Length   25/5, alignment 15/ 9, found:	23.5498
Length   25/5, alignment 15/ 9, fail:	6.9574
Length   25/5, alignment 15/15, found:	25.71
Length   25/5, alignment 15/15, fail:	6.85229
Length   30/5, alignment  0/ 0, found:	23.87
Length   30/5, alignment  0/ 0, fail:	5.68848
Length   30/5, alignment  0/ 3, found:	23.9838
Length   30/5, alignment  0/ 3, fail:	5.6897
Length   30/5, alignment  0/ 9, found:	24.4545
Length   30/5, alignment  0/ 9, fail:	5.68726
Length   30/5, alignment  0/15, found:	24.5913
Length   30/5, alignment  0/15, fail:	6.22766
Length   30/5, alignment  3/ 0, found:	24.2783
Length   30/5, alignment  3/ 0, fail:	5.95984
Length   30/5, alignment  3/ 3, found:	23.5498
Length   30/5, alignment  3/ 3, fail:	6.50024
Length   30/5, alignment  3/ 9, found:	24.3419
Length   30/5, alignment  3/ 9, fail:	6.2301
Length   30/5, alignment  3/15, found:	27.0621
Length   30/5, alignment  3/15, fail:	6.77161
Length   30/5, alignment  9/ 0, found:	24.2722
Length   30/5, alignment  9/ 0, fail:	6.2312
Length   30/5, alignment  9/ 3, found:	23.5509
Length   30/5, alignment  9/ 3, fail:	6.2312
Length   30/5, alignment  9/ 9, found:	24.2098
Length   30/5, alignment  9/ 9, fail:	6.50024
Length   30/5, alignment  9/15, found:	25.7124
Length   30/5, alignment  9/15, fail:	6.77161
Length   30/5, alignment 15/ 0, found:	24.2759
Length   30/5, alignment 15/ 0, fail:	6.22998
Length   30/5, alignment 15/ 3, found:	23.5485
Length   30/5, alignment 15/ 3, fail:	6.49902
Length   30/5, alignment 15/ 9, found:	24.1953
Length   30/5, alignment 15/ 9, fail:	6.50146
Length   30/5, alignment 15/15, found:	25.7136
Length   30/5, alignment 15/15, fail:	6.76929
Length   35/5, alignment  0/ 0, found:	23.2771
Length   35/5, alignment  0/ 0, fail:	6.77661
Length   35/5, alignment  0/ 3, found:	24.6279
Length   35/5, alignment  0/ 3, fail:	6.77649
Length   35/5, alignment  0/ 9, found:	23.7661
Length   35/5, alignment  0/ 9, fail:	6.77283
Length   35/5, alignment  0/15, found:	23.8212
Length   35/5, alignment  0/15, fail:	6.77771
Length   35/5, alignment  3/ 0, found:	23.2795
Length   35/5, alignment  3/ 0, fail:	6.22888
Length   35/5, alignment  3/ 3, found:	23.5472
Length   35/5, alignment  3/ 3, fail:	6.4978
Length   35/5, alignment  3/ 9, found:	25.3114
Length   35/5, alignment  3/ 9, fail:	6.4978
Length   35/5, alignment  3/15, found:	25.71
Length   35/5, alignment  3/15, fail:	7.04187
Length   35/5, alignment  9/ 0, found:	23.2856
Length   35/5, alignment  9/ 0, fail:	5.9574
Length   35/5, alignment  9/ 3, found:	23.5472
Length   35/5, alignment  9/ 3, fail:	7.53821
Length   35/5, alignment  9/ 9, found:	23.5485
Length   35/5, alignment  9/ 9, fail:	6.49902
Length   35/5, alignment  9/15, found:	24.3615
Length   35/5, alignment  9/15, fail:	6.77039
Length   35/5, alignment 15/ 0, found:	23.8236
Length   35/5, alignment 15/ 0, fail:	7.31567
Length   35/5, alignment 15/ 3, found:	24.7882
Length   35/5, alignment 15/ 3, fail:	6.77649
Length   35/5, alignment 15/ 9, found:	24.2673
Length   35/5, alignment 15/ 9, fail:	6.77405
Length   35/5, alignment 15/15, found:	24.6293
Length   35/5, alignment 15/15, fail:	7.04553
Length   24/6, alignment  0/ 0, found:	23.8199
Length   24/6, alignment  0/ 0, fail:	5.6897
Length   24/6, alignment  0/ 3, found:	24.6293
Length   24/6, alignment  0/ 3, fail:	5.69214
Length   24/6, alignment  0/ 9, found:	24.0889
Length   24/6, alignment  0/ 9, fail:	5.6897
Length   24/6, alignment  0/15, found:	24.3578
Length   24/6, alignment  0/15, fail:	6.23376
Length   24/6, alignment  3/ 0, found:	24.3566
Length   24/6, alignment  3/ 0, fail:	5.41943
Length   24/6, alignment  3/ 3, found:	24.0535
Length   24/6, alignment  3/ 3, fail:	5.6897
Length   24/6, alignment  3/ 9, found:	24.1525
Length   24/6, alignment  3/ 9, fail:	5.68604
Length   24/6, alignment  3/15, found:	23.5461
Length   24/6, alignment  3/15, fail:	5.96228
Length   24/6, alignment  9/ 0, found:	23.2771
Length   24/6, alignment  9/ 0, fail:	6.23242
Length   24/6, alignment  9/ 3, found:	24.1194
Length   24/6, alignment  9/ 3, fail:	6.50391
Length   24/6, alignment  9/ 9, found:	24.4508
Length   24/6, alignment  9/ 9, fail:	6.50391
Length   24/6, alignment  9/15, found:	27.0646
Length   24/6, alignment  9/15, fail:	6.77283
Length   24/6, alignment 15/ 0, found:	24.2759
