[sonic] running official CMake benchmark (benchmark/main.cpp)
2026-08-24T10:22:35+08:00
Running /tmp/boostkit-perf/32682799285-1/HPC/sonic/1.0.2/aarch64/build/benchmark/bench
Run on (256 X 2900 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB (x128)
  L1 Instruction 64 KiB (x128)
  L2 Unified 1280 KiB (x128)
  L3 Unified 57344 KiB (x4)
Load Average: 0.77, 0.26, 0.09
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
poet/Decode_YYjson_median                           6590925 ns      6585659 ns            5 bytes_per_second=508.703Mi/s testdata/poet.json
poet/Decode_YYjson_stddev                              1648 ns         1683 ns            5 bytes_per_second=133.119Ki/s testdata/poet.json
poet/Decode_YYjson_cv                                  0.03 %          0.03 %             5 bytes_per_second=0.03% testdata/poet.json
poet/Decode_SIMDjson_mean                           1741169 ns      1739565 ns            5 bytes_per_second=1.88072Gi/s testdata/poet.json
poet/Decode_SIMDjson_median                         1741021 ns      1739432 ns            5 bytes_per_second=1.88086Gi/s testdata/poet.json
poet/Decode_SIMDjson_stddev                             253 ns          248 ns            5 bytes_per_second=281.462Ki/s testdata/poet.json
poet/Decode_SIMDjson_cv                                0.01 %          0.01 %             5 bytes_per_second=0.01% testdata/poet.json
poet/Decode_JsonCpp_mean                           87083015 ns     87020623 ns            5 bytes_per_second=38.4984Mi/s testdata/poet.json
poet/Decode_JsonCpp_median                         87047121 ns     86982900 ns            5 bytes_per_second=38.515Mi/s testdata/poet.json
poet/Decode_JsonCpp_stddev                           165309 ns       167795 ns            5 bytes_per_second=76.0461Ki/s testdata/poet.json
poet/Decode_JsonCpp_cv                                 0.19 %          0.19 %             5 bytes_per_second=0.19% testdata/poet.json
otfcc/Decode_SonicDyn_mean                        169885033 ns    169625203 ns            5 bytes_per_second=373.376Mi/s testdata/otfcc.json
otfcc/Decode_SonicDyn_median                      170190205 ns    169928782 ns            5 bytes_per_second=372.702Mi/s testdata/otfcc.json
otfcc/Decode_SonicDyn_stddev                         817782 ns       813194 ns            5 bytes_per_second=1.8001Mi/s testdata/otfcc.json
otfcc/Decode_SonicDyn_cv                               0.48 %          0.48 %             5 bytes_per_second=0.48% testdata/otfcc.json
otfcc/Decode_Rapidjson_mean                       287223705 ns    286842760 ns            5 bytes_per_second=220.794Mi/s testdata/otfcc.json
otfcc/Decode_Rapidjson_median                     287313565 ns    286950685 ns            5 bytes_per_second=220.71Mi/s testdata/otfcc.json
otfcc/Decode_Rapidjson_stddev                        599678 ns       594718 ns            5 bytes_per_second=469.424Ki/s testdata/otfcc.json
otfcc/Decode_Rapidjson_cv                              0.21 %          0.21 %             5 bytes_per_second=0.21% testdata/otfcc.json
otfcc/Decode_YYjson_mean                          308707644 ns    308300460 ns            5 bytes_per_second=205.427Mi/s testdata/otfcc.json
otfcc/Decode_YYjson_median                        308954755 ns    308543190 ns            5 bytes_per_second=205.264Mi/s testdata/otfcc.json
otfcc/Decode_YYjson_stddev                          1012931 ns      1010446 ns            5 bytes_per_second=689.484Ki/s testdata/otfcc.json
otfcc/Decode_YYjson_cv                                 0.33 %          0.33 %             5 bytes_per_second=0.33% testdata/otfcc.json
otfcc/Decode_SIMDjson_mean                        126384980 ns    126210922 ns            5 bytes_per_second=501.802Mi/s testdata/otfcc.json
otfcc/Decode_SIMDjson_median                      126375778 ns    126197840 ns            5 bytes_per_second=501.854Mi/s testdata/otfcc.json
otfcc/Decode_SIMDjson_stddev                          53769 ns        52833 ns            5 bytes_per_second=215.035Ki/s testdata/otfcc.json
otfcc/Decode_SIMDjson_cv                               0.04 %          0.04 %             5 bytes_per_second=0.04% testdata/otfcc.json
otfcc/Decode_JsonCpp_mean                        1.4477e+10 ns   1.4468e+10 ns            5 bytes_per_second=4.37815Mi/s testdata/otfcc.json
otfcc/Decode_JsonCpp_median                      1.4551e+10 ns   1.4542e+10 ns            5 bytes_per_second=4.35527Mi/s testdata/otfcc.json
otfcc/Decode_JsonCpp_stddev                       205300431 ns    204245580 ns            5 bytes_per_second=63.2956Ki/s testdata/otfcc.json
otfcc/Decode_JsonCpp_cv                                1.42 %          1.41 %             5 bytes_per_second=1.41% testdata/otfcc.json
lottie/Decode_SonicDyn_mean                          689536 ns       688884 ns            5 bytes_per_second=399.986Mi/s testdata/lottie.json
lottie/Decode_SonicDyn_median                        689666 ns       688973 ns            5 bytes_per_second=399.934Mi/s testdata/lottie.json
lottie/Decode_SonicDyn_stddev                           261 ns          262 ns            5 bytes_per_second=155.908Ki/s testdata/lottie.json
lottie/Decode_SonicDyn_cv                              0.04 %          0.04 %             5 bytes_per_second=0.04% testdata/lottie.json
lottie/Decode_Rapidjson_mean                        1208115 ns      1206993 ns            5 bytes_per_second=228.29Mi/s testdata/lottie.json
lottie/Decode_Rapidjson_median                      1208262 ns      1207167 ns            5 bytes_per_second=228.257Mi/s testdata/lottie.json
lottie/Decode_Rapidjson_stddev                          684 ns          698 ns            5 bytes_per_second=135.26Ki/s testdata/lottie.json
lottie/Decode_Rapidjson_cv                             0.06 %          0.06 %             5 bytes_per_second=0.06% testdata/lottie.json
