[snappy-benchmark] cd SOURCE_DIR && ./build/snappy_benchmark
2026-08-18T09:20:59+00:00
Running ./build/snappy_benchmark
Run on (16 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1024 KiB (x8)
  L3 Unified 32768 KiB (x1)
Load Average: 0.57, 0.18, 0.07
----------------------------------------------------------------------------------------
Benchmark                              Time             CPU   Iterations UserCounters...
BM_ZFlat/1/2                     1485505 ns      1480272 ns          473 bytes_per_second=452.324M/s urls (45.43 %)
BM_ZFlat/2/1                        4177 ns         4164 ns       168116 bytes_per_second=27.5314G/s jpg (99.95 %)
BM_ZFlat/2/2                       32598 ns        32499 ns        21542 bytes_per_second=3.5275G/s jpg (99.95 %)
BM_ZFlat/3/1                         172 ns          171 ns      4086065 bytes_per_second=1112.87M/s jpg_200 (73.00 %)
BM_ZFlat/3/2                         282 ns          282 ns      2486400 bytes_per_second=677.356M/s jpg_200 (72.50 %)
BM_ZFlat/4/1                        6982 ns         6962 ns       100558 bytes_per_second=13.6989G/s pdf (83.31 %)
BM_ZFlat/4/2                      130737 ns       130355 ns         5372 bytes_per_second=749.156M/s pdf (80.99 %)
BM_ZFlat/5/1                      172953 ns       172380 ns         4099 bytes_per_second=2.21295G/s html4 (22.40 %)
BM_ZFlat/5/2                      278041 ns       277140 ns         2525 bytes_per_second=1.37645G/s html4 (20.82 %)
BM_ZFlat/6/1                      203041 ns       202436 ns         3468 bytes_per_second=716.489M/s txt1 (57.09 %)
BM_ZFlat/6/2                      342181 ns       341166 ns         1969 bytes_per_second=425.14M/s txt1 (52.31 %)
BM_ZFlat/7/1                      175618 ns       175087 ns         3999 bytes_per_second=681.833M/s txt2 (61.13 %)
BM_ZFlat/7/2                      294221 ns       293339 ns         2381 bytes_per_second=406.97M/s txt2 (56.77 %)
BM_ZFlat/8/1                      921041 ns       917801 ns          761 bytes_per_second=443.434M/s txt3 (54.50 %)
BM_ZFlat/8/2                     1369742 ns      1365167 ns          513 bytes_per_second=298.121M/s txt3 (49.40 %)
BM_ZFlat/9/1                     1295762 ns      1291249 ns          542 bytes_per_second=355.887M/s txt4 (65.46 %)
BM_ZFlat/9/2                     1884346 ns      1878377 ns          373 bytes_per_second=244.647M/s txt4 (60.99 %)
BM_ZFlat/10/1                      37505 ns        37393 ns        18738 bytes_per_second=2.95357G/s pb (19.51 %)
BM_ZFlat/10/2                      60618 ns        60440 ns        11574 bytes_per_second=1.82733G/s pb (18.33 %)
BM_ZFlat/11/1                     201902 ns       201306 ns         3479 bytes_per_second=873.205M/s gaviota (37.66 %)
BM_ZFlat/11/2                     261963 ns       261193 ns         2681 bytes_per_second=672.994M/s gaviota (31.21 %)
BM_ZFlatAll/1                    4796959 ns      4779091 ns          146 bytes_per_second=584.4M/s 12 kTestDataFiles
BM_ZFlatAll/2                    7041266 ns      7017121 ns           99 bytes_per_second=398.013M/s 12 kTestDataFiles
BM_ZFlatIncreasingTableSize/1      34522 ns        34420 ns        20361 bytes_per_second=1.76633G/s 8 tables
BM_ZFlatIncreasingTableSize/2      59435 ns        59261 ns        11797 bytes_per_second=1050.54M/s 8 tables
[snappy-benchmark] normalized 4 core metrics
