[sonic] running official CMake benchmark (benchmark/main.cpp)
2026-08-24T02:22:22+00:00
Running /tmp/boostkit-perf/32682799285-1/HPC/sonic/1.0.2/x86_64/build/benchmark/bench
Run on (16 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x8)
  L1 Instruction 32 KiB (x8)
  L2 Unified 1024 KiB (x8)
  L3 Unified 32768 KiB (x1)
Load Average: 1.27, 0.35, 0.11
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
lottie/Decode_SonicDyn_mean                          455435 ns       453681 ns            5 bytes_per_second=607.354Mi/s testdata/lottie.json
lottie/Decode_SonicDyn_median                        455523 ns       453780 ns            5 bytes_per_second=607.219Mi/s testdata/lottie.json
lottie/Decode_SonicDyn_stddev                           948 ns          950 ns            5 bytes_per_second=1.2718Mi/s testdata/lottie.json
lottie/Decode_SonicDyn_cv                              0.21 %          0.21 %             5 bytes_per_second=0.21% testdata/lottie.json
lottie/Decode_Rapidjson_mean                         880326 ns       876635 ns            5 bytes_per_second=314.335Mi/s testdata/lottie.json
lottie/Decode_Rapidjson_median                       881607 ns       878204 ns            5 bytes_per_second=313.759Mi/s testdata/lottie.json
lottie/Decode_Rapidjson_stddev                         5984 ns         6610 ns            5 bytes_per_second=2.39073Mi/s testdata/lottie.json
lottie/Decode_Rapidjson_cv                             0.68 %          0.75 %             5 bytes_per_second=0.76% testdata/lottie.json
lottie/Decode_YYjson_mean                            860661 ns       857375 ns            5 bytes_per_second=321.381Mi/s testdata/lottie.json
lottie/Decode_YYjson_median                          860699 ns       857415 ns            5 bytes_per_second=321.366Mi/s testdata/lottie.json
lottie/Decode_YYjson_stddev                             279 ns          261 ns            5 bytes_per_second=100.126Ki/s testdata/lottie.json
lottie/Decode_YYjson_cv                                0.03 %          0.03 %             5 bytes_per_second=0.03% testdata/lottie.json
lottie/Decode_SIMDjson_mean                          371192 ns       369729 ns            5 bytes_per_second=745.261Mi/s testdata/lottie.json
lottie/Decode_SIMDjson_median                        371114 ns       369682 ns            5 bytes_per_second=745.354Mi/s testdata/lottie.json
lottie/Decode_SIMDjson_stddev                           400 ns          416 ns            5 bytes_per_second=858.037Ki/s testdata/lottie.json
lottie/Decode_SIMDjson_cv                              0.11 %          0.11 %             5 bytes_per_second=0.11% testdata/lottie.json
lottie/Decode_JsonCpp_mean                         74439566 ns     74212485 ns            5 bytes_per_second=3.71301Mi/s testdata/lottie.json
lottie/Decode_JsonCpp_median                       74651771 ns     74418972 ns            5 bytes_per_second=3.70261Mi/s testdata/lottie.json
lottie/Decode_JsonCpp_stddev                         428564 ns       425714 ns            5 bytes_per_second=21.8498Ki/s testdata/lottie.json
lottie/Decode_JsonCpp_cv                               0.58 %          0.57 %             5 bytes_per_second=0.57% testdata/lottie.json
gsoc-2018/Decode_SonicDyn_mean                       630260 ns       627833 ns            5 bytes_per_second=4.93648Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SonicDyn_median                     630357 ns       627930 ns            5 bytes_per_second=4.93572Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SonicDyn_stddev                        854 ns          859 ns            5 bytes_per_second=6.92653Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SonicDyn_cv                           0.14 %          0.14 %             5 bytes_per_second=0.14% testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_mean                     4499830 ns      4482545 ns            5 bytes_per_second=708.007Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_median                   4499838 ns      4482326 ns            5 bytes_per_second=708.04Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_stddev                      6492 ns         6560 ns            5 bytes_per_second=1.03615Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_Rapidjson_cv                          0.14 %          0.15 %             5 bytes_per_second=0.15% testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_mean                        4322580 ns      4306062 ns            5 bytes_per_second=737.023Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_median                      4322669 ns      4306040 ns            5 bytes_per_second=737.027Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_stddev                         1338 ns         1239 ns            5 bytes_per_second=217.169Ki/s testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_cv                             0.03 %          0.03 %             5 bytes_per_second=0.03% testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_mean                       796452 ns       793197 ns            5 bytes_per_second=3.90733Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_median                     796670 ns       793040 ns            5 bytes_per_second=3.90811Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_stddev                        495 ns          450 ns            5 bytes_per_second=2.26942Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_cv                           0.06 %          0.06 %             5 bytes_per_second=0.06% testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_mean                      52455608 ns     52288637 ns            5 bytes_per_second=61.1347Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_median                    50093574 ns     49938997 ns            5 bytes_per_second=63.5509Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_stddev                     5308454 ns      5282061 ns            5 bytes_per_second=5.43871Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_cv                           10.12 %         10.10 %             5 bytes_per_second=8.90% testdata/gsoc-2018.json
github_events/Decode_SonicDyn_mean                    22408 ns        22341 ns            5 bytes_per_second=2.71509Gi/s testdata/github_events.json
github_events/Decode_SonicDyn_median                  22398 ns        22333 ns            5 bytes_per_second=2.71613Gi/s testdata/github_events.json
github_events/Decode_SonicDyn_stddev                   22.2 ns         22.6 ns            5 bytes_per_second=2.81251Mi/s testdata/github_events.json
github_events/Decode_SonicDyn_cv                       0.10 %          0.10 %             5 bytes_per_second=0.10% testdata/github_events.json
github_events/Decode_Rapidjson_mean                   99261 ns        98965 ns            5 bytes_per_second=627.644Mi/s testdata/github_events.json
github_events/Decode_Rapidjson_median                 99220 ns        98928 ns            5 bytes_per_second=627.877Mi/s testdata/github_events.json
github_events/Decode_Rapidjson_stddev                   197 ns          195 ns            5 bytes_per_second=1.23929Mi/s testdata/github_events.json
github_events/Decode_Rapidjson_cv                      0.20 %          0.20 %             5 bytes_per_second=0.20% testdata/github_events.json
github_events/Decode_YYjson_mean                      84541 ns        84290 ns            5 bytes_per_second=736.914Mi/s testdata/github_events.json
github_events/Decode_YYjson_median                    84533 ns        84279 ns            5 bytes_per_second=737.016Mi/s testdata/github_events.json
github_events/Decode_YYjson_stddev                     33.6 ns         34.1 ns            5 bytes_per_second=304.991Ki/s testdata/github_events.json
github_events/Decode_YYjson_cv                         0.04 %          0.04 %             5 bytes_per_second=0.04% testdata/github_events.json
github_events/Decode_SIMDjson_mean                    16952 ns        16901 ns            5 bytes_per_second=3.58916Gi/s testdata/github_events.json
github_events/Decode_SIMDjson_median                  16957 ns        16906 ns            5 bytes_per_second=3.58808Gi/s testdata/github_events.json
github_events/Decode_SIMDjson_stddev                   15.6 ns         15.4 ns            5 bytes_per_second=3.34294Mi/s testdata/github_events.json
github_events/Decode_SIMDjson_cv                       0.09 %          0.09 %             5 bytes_per_second=0.09% testdata/github_events.json
github_events/Decode_JsonCpp_mean                   2240081 ns      2233020 ns            5 bytes_per_second=27.8165Mi/s testdata/github_events.json
github_events/Decode_JsonCpp_median                 2239476 ns      2232335 ns            5 bytes_per_second=27.825Mi/s testdata/github_events.json
github_events/Decode_JsonCpp_stddev                    3483 ns         3470 ns            5 bytes_per_second=44.231Ki/s testdata/github_events.json
github_events/Decode_JsonCpp_cv                        0.16 %          0.16 %             5 bytes_per_second=0.16% testdata/github_events.json
fgo/Decode_SonicDyn_mean                           48486713 ns     48289428 ns            5 bytes_per_second=963.068Mi/s testdata/fgo.json
fgo/Decode_SonicDyn_median                         48497719 ns     48299623 ns            5 bytes_per_second=962.864Mi/s testdata/fgo.json
fgo/Decode_SonicDyn_stddev                            43389 ns        42774 ns            5 bytes_per_second=874.302Ki/s testdata/fgo.json
fgo/Decode_SonicDyn_cv                                 0.09 %          0.09 %             5 bytes_per_second=0.09% testdata/fgo.json
fgo/Decode_Rapidjson_mean                         112461059 ns    112033086 ns            5 bytes_per_second=415.174Mi/s testdata/fgo.json
fgo/Decode_Rapidjson_median                       112552789 ns    112125248 ns            5 bytes_per_second=414.768Mi/s testdata/fgo.json
fgo/Decode_Rapidjson_stddev                         1572676 ns      1564329 ns            5 bytes_per_second=5.8396Mi/s testdata/fgo.json
fgo/Decode_Rapidjson_cv                                1.40 %          1.40 %             5 bytes_per_second=1.41% testdata/fgo.json
fgo/Decode_YYjson_mean                            112369518 ns    111938042 ns            5 bytes_per_second=415.462Mi/s testdata/fgo.json
fgo/Decode_YYjson_median                          112372995 ns    111941400 ns            5 bytes_per_second=415.449Mi/s testdata/fgo.json
fgo/Decode_YYjson_stddev                              43852 ns        44051 ns            5 bytes_per_second=167.412Ki/s testdata/fgo.json
fgo/Decode_YYjson_cv                                   0.04 %          0.04 %             5 bytes_per_second=0.04% testdata/fgo.json
fgo/Decode_SIMDjson_mean                           58816121 ns     58572060 ns            5 bytes_per_second=793.996Mi/s testdata/fgo.json
fgo/Decode_SIMDjson_median                         58812212 ns     58566851 ns            5 bytes_per_second=794.066Mi/s testdata/fgo.json
fgo/Decode_SIMDjson_stddev                            32576 ns        32703 ns            5 bytes_per_second=453.926Ki/s testdata/fgo.json
fgo/Decode_SIMDjson_cv                                 0.06 %          0.06 %             5 bytes_per_second=0.06% testdata/fgo.json
fgo/Decode_JsonCpp_mean                          5843151899 ns   5825853873 ns            5 bytes_per_second=7.98731Mi/s testdata/fgo.json
fgo/Decode_JsonCpp_median                        5753057964 ns   5736172840 ns            5 bytes_per_second=8.10749Mi/s testdata/fgo.json
fgo/Decode_JsonCpp_stddev                         158461245 ns    157624078 ns            5 bytes_per_second=218.65Ki/s testdata/fgo.json
fgo/Decode_JsonCpp_cv                                  2.71 %          2.71 %             5 bytes_per_second=2.67% testdata/fgo.json
citm_catalog/Decode_SonicDyn_mean                    609706 ns       607436 ns            5 bytes_per_second=2.64816Gi/s testdata/citm_catalog.json
citm_catalog/Decode_SonicDyn_median                  610201 ns       607935 ns            5 bytes_per_second=2.64598Gi/s testdata/citm_catalog.json
citm_catalog/Decode_SonicDyn_stddev                     912 ns          925 ns            5 bytes_per_second=4.13265Mi/s testdata/citm_catalog.json
citm_catalog/Decode_SonicDyn_cv                        0.15 %          0.15 %             5 bytes_per_second=0.15% testdata/citm_catalog.json
citm_catalog/Decode_Rapidjson_mean                  1605867 ns      1599836 ns            5 bytes_per_second=1.00547Gi/s testdata/citm_catalog.json
citm_catalog/Decode_Rapidjson_median                1606436 ns      1600372 ns            5 bytes_per_second=1.00513Gi/s testdata/citm_catalog.json
citm_catalog/Decode_Rapidjson_stddev                   1319 ns         1319 ns            5 bytes_per_second=870.228Ki/s testdata/citm_catalog.json
citm_catalog/Decode_Rapidjson_cv                       0.08 %          0.08 %             5 bytes_per_second=0.08% testdata/citm_catalog.json
citm_catalog/Decode_YYjson_mean                     2059715 ns      2051966 ns            5 bytes_per_second=802.737Mi/s testdata/citm_catalog.json
citm_catalog/Decode_YYjson_median                   2059737 ns      2051967 ns            5 bytes_per_second=802.737Mi/s testdata/citm_catalog.json
citm_catalog/Decode_YYjson_stddev                       213 ns          200 ns            5 bytes_per_second=79.9585Ki/s testdata/citm_catalog.json
citm_catalog/Decode_YYjson_cv                          0.01 %          0.01 %             5 bytes_per_second=0.01% testdata/citm_catalog.json
citm_catalog/Decode_SIMDjson_mean                    596107 ns       593876 ns            5 bytes_per_second=2.70862Gi/s testdata/citm_catalog.json
citm_catalog/Decode_SIMDjson_median                  596095 ns       593878 ns            5 bytes_per_second=2.70861Gi/s testdata/citm_catalog.json
citm_catalog/Decode_SIMDjson_stddev                    47.4 ns         44.4 ns            5 bytes_per_second=212.282Ki/s testdata/citm_catalog.json
