                       	strsep
Length   24/4, alignment 15/ 0, found:	17.2192
Length   24/4, alignment 15/ 0, fail:	15.9534
Length   24/4, alignment 15/ 3, found:	17.218
Length   24/4, alignment 15/ 3, fail:	15.9558
Length   24/4, alignment 15/ 9, found:	17.2192
Length   24/4, alignment 15/ 9, fail:	15.957
Length   24/4, alignment 15/15, found:	17.1936
Length   24/4, alignment 15/15, fail:	15.9534
Length   28/4, alignment  0/ 0, found:	17.0239
Length   28/4, alignment  0/ 0, fail:	15.0781
Length   28/4, alignment  0/ 3, found:	17.019
Length   28/4, alignment  0/ 3, fail:	15.0891
Length   28/4, alignment  0/ 9, found:	17.019
Length   28/4, alignment  0/ 9, fail:	15.0854
Length   28/4, alignment  0/15, found:	17.019
Length   28/4, alignment  0/15, fail:	15.1721
Length   28/4, alignment  3/ 0, found:	17.2302
Length   28/4, alignment  3/ 0, fail:	15.1392
Length   28/4, alignment  3/ 3, found:	17.2266
Length   28/4, alignment  3/ 3, fail:	15.1941
Length   28/4, alignment  3/ 9, found:	17.251
Length   28/4, alignment  3/ 9, fail:	15.0842
Length   28/4, alignment  3/15, found:	17.1985
Length   28/4, alignment  3/15, fail:	15.0708
Length   28/4, alignment  9/ 0, found:	17.2192
Length   28/4, alignment  9/ 0, fail:	15.9595
Length   28/4, alignment  9/ 3, found:	17.2205
Length   28/4, alignment  9/ 3, fail:	16.4429
Length   28/4, alignment  9/ 9, found:	17.2241
Length   28/4, alignment  9/ 9, fail:	15.957
Length   28/4, alignment  9/15, found:	17.2217
Length   28/4, alignment  9/15, fail:	15.9558
Length   28/4, alignment 15/ 0, found:	17.2192
Length   28/4, alignment 15/ 0, fail:	15.9436
Length   28/4, alignment 15/ 3, found:	17.2095
Length   28/4, alignment 15/ 3, fail:	15.9497
Length   28/4, alignment 15/ 9, found:	17.2229
Length   28/4, alignment 15/ 9, fail:	15.9607
Length   28/4, alignment 15/15, found:	17.2119
Length   28/4, alignment 15/15, fail:	15.9558
Length   20/5, alignment  0/ 0, found:	17.5977
Length   20/5, alignment  0/ 0, fail:	15.5286
Length   20/5, alignment  0/ 3, found:	17.6001
Length   20/5, alignment  0/ 3, fail:	15.531
Length   20/5, alignment  0/ 9, found:	17.5903
Length   20/5, alignment  0/ 9, fail:	15.5249
Length   20/5, alignment  0/15, found:	17.594
Length   20/5, alignment  0/15, fail:	15.52
Length   20/5, alignment  3/ 0, found:	17.594
Length   20/5, alignment  3/ 0, fail:	15.52
Length   20/5, alignment  3/ 3, found:	17.5964
Length   20/5, alignment  3/ 3, fail:	15.5212
Length   20/5, alignment  3/ 9, found:	17.594
Length   20/5, alignment  3/ 9, fail:	15.5225
Length   20/5, alignment  3/15, found:	17.5964
Length   20/5, alignment  3/15, fail:	15.5237
Length   20/5, alignment  9/ 0, found:	18.2178
Length   20/5, alignment  9/ 0, fail:	15.5322
Length   20/5, alignment  9/ 3, found:	17.9431
Length   20/5, alignment  9/ 3, fail:	15.5237
Length   20/5, alignment  9/ 9, found:	17.9407
Length   20/5, alignment  9/ 9, fail:	15.5225
Length   20/5, alignment  9/15, found:	17.9431
Length   20/5, alignment  9/15, fail:	15.5225
Length   20/5, alignment 15/ 0, found:	17.9407
Length   20/5, alignment 15/ 0, fail:	15.8813
Length   20/5, alignment 15/ 3, found:	17.9504
Length   20/5, alignment 15/ 3, fail:	15.8716
Length   20/5, alignment 15/ 9, found:	17.9431
Length   20/5, alignment 15/ 9, fail:	15.8667
Length   20/5, alignment 15/15, found:	17.9419
Length   20/5, alignment 15/15, fail:	15.8716
Length   25/5, alignment  0/ 0, found:	17.5964
Length   25/5, alignment  0/ 0, fail:	15.5273
Length   25/5, alignment  0/ 3, found:	17.5952
Length   25/5, alignment  0/ 3, fail:	15.5237
Length   25/5, alignment  0/ 9, found:	17.5989
Length   25/5, alignment  0/ 9, fail:	15.5249
Length   25/5, alignment  0/15, found:	17.5952
Length   25/5, alignment  0/15, fail:	15.5212
Length   25/5, alignment  3/ 0, found:	17.5964
Length   25/5, alignment  3/ 0, fail:	15.5225
Length   25/5, alignment  3/ 3, found:	17.594
Length   25/5, alignment  3/ 3, fail:	15.5237
Length   25/5, alignment  3/ 9, found:	18.0237
Length   25/5, alignment  3/ 9, fail:	15.5225
Length   25/5, alignment  3/15, found:	17.5928
Length   25/5, alignment  3/15, fail:	15.5237
Length   25/5, alignment  9/ 0, found:	17.9456
Length   25/5, alignment  9/ 0, fail:	15.8777
Length   25/5, alignment  9/ 3, found:	17.9407
Length   25/5, alignment  9/ 3, fail:	15.8704
Length   25/5, alignment  9/ 9, found:	17.9456
Length   25/5, alignment  9/ 9, fail:	15.8679
Length   25/5, alignment  9/15, found:	17.9395
Length   25/5, alignment  9/15, fail:	15.8691
Length   25/5, alignment 15/ 0, found:	17.9419
Length   25/5, alignment 15/ 0, fail:	15.8679
Length   25/5, alignment 15/ 3, found:	17.9407
Length   25/5, alignment 15/ 3, fail:	15.8667
Length   25/5, alignment 15/ 9, found:	17.9382
Length   25/5, alignment 15/ 9, fail:	15.8704
Length   25/5, alignment 15/15, found:	17.9431
Length   25/5, alignment 15/15, fail:	15.8655
Length   30/5, alignment  0/ 0, found:	17.5928
Length   30/5, alignment  0/ 0, fail:	15.531
Length   30/5, alignment  0/ 3, found:	17.5989
Length   30/5, alignment  0/ 3, fail:	15.5212
Length   30/5, alignment  0/ 9, found:	17.5964
Length   30/5, alignment  0/ 9, fail:	15.5225
Length   30/5, alignment  0/15, found:	17.5977
Length   30/5, alignment  0/15, fail:	15.5444
Length   30/5, alignment  3/ 0, found:	17.9407
Length   30/5, alignment  3/ 0, fail:	16.5552
Length   30/5, alignment  3/ 3, found:	17.9407
Length   30/5, alignment  3/ 3, fail:	15.8728
Length   30/5, alignment  3/ 9, found:	17.937
Length   30/5, alignment  3/ 9, fail:	15.8704
Length   30/5, alignment  3/15, found:	17.9431
Length   30/5, alignment  3/15, fail:	15.874
Length   30/5, alignment  9/ 0, found:	17.9407
Length   30/5, alignment  9/ 0, fail:	15.8667
Length   30/5, alignment  9/ 3, found:	17.9382
Length   30/5, alignment  9/ 3, fail:	15.8716
Length   30/5, alignment  9/ 9, found:	17.9419
Length   30/5, alignment  9/ 9, fail:	15.8667
Length   30/5, alignment  9/15, found:	17.9395
Length   30/5, alignment  9/15, fail:	15.8716
Length   30/5, alignment 15/ 0, found:	17.9431
Length   30/5, alignment 15/ 0, fail:	15.8691
Length   30/5, alignment 15/ 3, found:	17.9358
Length   30/5, alignment 15/ 3, fail:	15.8679
Length   30/5, alignment 15/ 9, found:	17.9407
Length   30/5, alignment 15/ 9, fail:	15.8728
Length   30/5, alignment 15/15, found:	17.9407
Length   30/5, alignment 15/15, fail:	15.8667
Length   35/5, alignment  0/ 0, found:	17.9382
Length   35/5, alignment  0/ 0, fail:	15.8704
Length   35/5, alignment  0/ 3, found:	17.9407
Length   35/5, alignment  0/ 3, fail:	15.8667
