                       	strtok
Length    6/3, alignment  0/ 3, fail:	11.9194
Length    6/3, alignment  0/ 9, found:	11.9043
Length    6/3, alignment  0/ 9, fail:	11.8999
Length    6/3, alignment  0/15, found:	12.7495
Length    6/3, alignment  0/15, fail:	12.4663
Length    6/3, alignment  3/ 0, found:	11.6606
Length    6/3, alignment  3/ 0, fail:	11.6406
Length    6/3, alignment  3/ 3, found:	14.7612
Length    6/3, alignment  3/ 3, fail:	11.9097
Length    6/3, alignment  3/ 9, found:	11.9048
Length    6/3, alignment  3/ 9, fail:	11.8994
Length    6/3, alignment  3/15, found:	11.9385
Length    6/3, alignment  3/15, fail:	11.9097
Length    6/3, alignment  9/ 0, found:	11.0991
Length    6/3, alignment  9/ 0, fail:	11.0938
Length    6/3, alignment  9/ 3, found:	11.9092
Length    6/3, alignment  9/ 3, fail:	11.8999
Length    6/3, alignment  9/ 9, found:	11.9048
Length    6/3, alignment  9/ 9, fail:	11.8994
Length    6/3, alignment  9/15, found:	11.9189
Length    6/3, alignment  9/15, fail:	11.9097
Length    6/3, alignment 15/ 0, found:	12.7397
Length    6/3, alignment 15/ 0, fail:	12.481
Length    6/3, alignment 15/ 3, found:	13.2812
Length    6/3, alignment 15/ 3, fail:	13.0078
Length    6/3, alignment 15/ 9, found:	13.2622
Length    6/3, alignment 15/ 9, fail:	12.9888
Length    6/3, alignment 15/15, found:	13.5552
Length    6/3, alignment 15/15, fail:	13.2866
Length    9/3, alignment  0/ 0, found:	11.9141
Length    9/3, alignment  0/ 0, fail:	11.3774
Length    9/3, alignment  0/ 3, found:	12.1831
Length    9/3, alignment  0/ 3, fail:	11.646
Length    9/3, alignment  0/ 9, found:	15.6743
Length    9/3, alignment  0/ 9, fail:	11.6309
Length    9/3, alignment  0/15, found:	12.7446
Length    9/3, alignment  0/15, fail:	12.1782
Length    9/3, alignment  3/ 0, found:	11.3774
Length    9/3, alignment  3/ 0, fail:	11.3721
Length    9/3, alignment  3/ 3, found:	11.9287
Length    9/3, alignment  3/ 3, fail:	11.9146
Length    9/3, alignment  3/ 9, found:	11.9146
Length    9/3, alignment  3/ 9, fail:	11.8994
Length    9/3, alignment  3/15, found:	15.6396
Length    9/3, alignment  3/15, fail:	12.1875
Length    9/3, alignment  9/ 0, found:	11.397
Length    9/3, alignment  9/ 0, fail:	12.7202
Length    9/3, alignment  9/ 3, found:	11.9292
Length    9/3, alignment  9/ 3, fail:	13.2568
Length    9/3, alignment  9/ 9, found:	11.9146
Length    9/3, alignment  9/ 9, fail:	13.2622
Length    9/3, alignment  9/15, found:	12.1978
Length    9/3, alignment  9/15, fail:	13.2622
Length    9/3, alignment 15/ 0, found:	12.4561
Length    9/3, alignment 15/ 0, fail:	12.1929
Length    9/3, alignment 15/ 3, found:	13.2622
Length    9/3, alignment 15/ 3, fail:	13.0034
Length    9/3, alignment 15/ 9, found:	13.2671
Length    9/3, alignment 15/ 9, fail:	12.9888
Length    9/3, alignment 15/15, found:	13.2715
Length    9/3, alignment 15/15, fail:	13.0034
Length   12/3, alignment  0/ 0, found:	11.9146
Length   12/3, alignment  0/ 0, fail:	11.0991
Length   12/3, alignment  0/ 3, found:	12.1777
Length   12/3, alignment  0/ 3, fail:	11.6406
Length   12/3, alignment  0/ 9, found:	12.1733
Length   12/3, alignment  0/ 9, fail:	11.6313
Length   12/3, alignment  0/15, found:	12.7251
Length   12/3, alignment  0/15, fail:	11.8994
Length   12/3, alignment  3/ 0, found:	14.8296
Length   12/3, alignment  3/ 0, fail:	11.104
Length   12/3, alignment  3/ 3, found:	12.188
Length   12/3, alignment  3/ 3, fail:	12.1831
Length   12/3, alignment  3/ 9, found:	12.1875
Length   12/3, alignment  3/ 9, fail:	12.1733
Length   12/3, alignment  3/15, found:	12.1929
Length   12/3, alignment  3/15, fail:	12.188
Length   12/3, alignment  9/ 0, found:	12.1875
Length   12/3, alignment  9/ 0, fail:	15.4346
Length   12/3, alignment  9/ 3, found:	13.2666
Length   12/3, alignment  9/ 3, fail:	13.2671
Length   12/3, alignment  9/ 9, found:	13.2671
Length   12/3, alignment  9/ 9, fail:	13.2573
Length   12/3, alignment  9/15, found:	13.2915
Length   12/3, alignment  9/15, fail:	13.2568
Length   12/3, alignment 15/ 0, found:	12.4512
Length   12/3, alignment 15/ 0, fail:	12.4614
Length   12/3, alignment 15/ 3, found:	13.2573
Length   12/3, alignment 15/ 3, fail:	13.2524
Length   12/3, alignment 15/ 9, found:	13.2622
Length   12/3, alignment 15/ 9, fail:	13.252
Length   12/3, alignment 15/15, found:	13.2622
Length   12/3, alignment 15/15, fail:	13.2622
Length   15/3, alignment  0/ 0, found:	11.9341
Length   15/3, alignment  0/ 0, fail:	11.3677
Length   15/3, alignment  0/ 3, found:	12.2168
Length   15/3, alignment  0/ 3, fail:	11.9048
Length   15/3, alignment  0/ 9, found:	12.2075
Length   15/3, alignment  0/ 9, fail:	11.8999
Length   15/3, alignment  0/15, found:	12.749
Length   15/3, alignment  0/15, fail:	12.1782
Length   15/3, alignment  3/ 0, found:	11.4019
Length   15/3, alignment  3/ 0, fail:	12.4565
Length   15/3, alignment  3/ 3, found:	12.2119
Length   15/3, alignment  3/ 3, fail:	13.2715
Length   15/3, alignment  3/ 9, found:	11.9141
Length   15/3, alignment  3/ 9, fail:	13.2671
Length   15/3, alignment  3/15, found:	12.2173
Length   15/3, alignment  3/15, fail:	13.5405
Length   15/3, alignment  9/ 0, found:	11.3916
