[sonic-cpp] running official CMake benchmark (benchmark/main.cpp)
2026-09-08T11:02:06+08:00
Running /home/runner/boostkit-perf/sonic-cpp/1.0.2/x86_64/34181714311-2/build/benchmark/bench
Run on (384 X 2400 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x192)
  L1 Instruction 32 KiB (x192)
  L2 Unified 1024 KiB (x192)
  L3 Unified 32768 KiB (x24)
Load Average: 0.63, 1.89, 1.86
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
-----------------------------------------------------------------------------------------------------------
Benchmark                                                 Time             CPU   Iterations UserCounters...
gsoc-2018/Decode_YYjson_stddev                        11022 ns        10961 ns            5 bytes_per_second=1.97021Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_YYjson_cv                             0.26 %          0.26 %             5 bytes_per_second=0.26% testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_mean                       758366 ns       754742 ns            5 bytes_per_second=4.10667Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_median                     757961 ns       754392 ns            5 bytes_per_second=4.10832Gi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_stddev                       6647 ns         6631 ns            5 bytes_per_second=36.8253Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_SIMDjson_cv                           0.88 %          0.88 %             5 bytes_per_second=0.88% testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_mean                      49845122 ns     49626868 ns            5 bytes_per_second=63.9506Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_median                    49865780 ns     49647157 ns            5 bytes_per_second=63.9244Mi/s testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_stddev                       55158 ns        56235 ns            5 bytes_per_second=74.2639Ki/s testdata/gsoc-2018.json
gsoc-2018/Decode_JsonCpp_cv                            0.11 %          0.11 %             5 bytes_per_second=0.11% testdata/gsoc-2018.json
twitter/Decode_SonicDyn_mean                          96803 ns        96347 ns            5 bytes_per_second=2.55563Gi/s testdata/twitter.json
twitter/Decode_SonicDyn_median                        96770 ns        96312 ns            5 bytes_per_second=2.55653Gi/s testdata/twitter.json
twitter/Decode_SonicDyn_stddev                          153 ns          153 ns            5 bytes_per_second=4.16779Mi/s testdata/twitter.json
twitter/Decode_SonicDyn_cv                             0.16 %          0.16 %             5 bytes_per_second=0.16% testdata/twitter.json
twitter/Decode_Rapidjson_mean                        349844 ns       348370 ns            5 bytes_per_second=723.763Mi/s testdata/twitter.json
twitter/Decode_Rapidjson_median                      349104 ns       347636 ns            5 bytes_per_second=725.286Mi/s testdata/twitter.json
twitter/Decode_Rapidjson_stddev                        1074 ns         1072 ns            5 bytes_per_second=2.22426Mi/s testdata/twitter.json
twitter/Decode_Rapidjson_cv                            0.31 %          0.31 %             5 bytes_per_second=0.31% testdata/twitter.json
twitter/Decode_YYjson_mean                           313113 ns       311773 ns            5 bytes_per_second=808.713Mi/s testdata/twitter.json
twitter/Decode_YYjson_median                         313145 ns       311797 ns            5 bytes_per_second=808.651Mi/s testdata/twitter.json
twitter/Decode_YYjson_stddev                            186 ns          174 ns            5 bytes_per_second=462.392Ki/s testdata/twitter.json
twitter/Decode_YYjson_cv                               0.06 %          0.06 %             5 bytes_per_second=0.06% testdata/twitter.json
twitter/Decode_SIMDjson_mean                          78137 ns        77795 ns            5 bytes_per_second=3.16508Gi/s testdata/twitter.json
twitter/Decode_SIMDjson_median                        78135 ns        77803 ns            5 bytes_per_second=3.16473Gi/s testdata/twitter.json
twitter/Decode_SIMDjson_stddev                          132 ns          120 ns            5 bytes_per_second=4.99136Mi/s testdata/twitter.json
twitter/Decode_SIMDjson_cv                             0.17 %          0.15 %             5 bytes_per_second=0.15% testdata/twitter.json
twitter/Decode_JsonCpp_mean                         9548016 ns      9511207 ns            5 bytes_per_second=26.5093Mi/s testdata/twitter.json
twitter/Decode_JsonCpp_median                       9549898 ns      9513709 ns            5 bytes_per_second=26.5023Mi/s testdata/twitter.json
twitter/Decode_JsonCpp_stddev                         15301 ns        16232 ns            5 bytes_per_second=46.3321Ki/s testdata/twitter.json
twitter/Decode_JsonCpp_cv                              0.16 %          0.17 %             5 bytes_per_second=0.17% testdata/twitter.json
github_events/Decode_SonicDyn_mean                    22723 ns        22639 ns            5 bytes_per_second=2.67944Gi/s testdata/github_events.json
github_events/Decode_SonicDyn_median                  22722 ns        22639 ns            5 bytes_per_second=2.67944Gi/s testdata/github_events.json
github_events/Decode_SonicDyn_stddev                   10.5 ns         8.83 ns            5 bytes_per_second=1.06956Mi/s testdata/github_events.json
github_events/Decode_SonicDyn_cv                       0.05 %          0.04 %             5 bytes_per_second=0.04% testdata/github_events.json
github_events/Decode_Rapidjson_mean                   91169 ns        90829 ns            5 bytes_per_second=683.866Mi/s testdata/github_events.json
github_events/Decode_Rapidjson_median                 91155 ns        90823 ns            5 bytes_per_second=683.913Mi/s testdata/github_events.json
github_events/Decode_Rapidjson_stddev                  32.3 ns         26.3 ns            5 bytes_per_second=202.681Ki/s testdata/github_events.json
github_events/Decode_Rapidjson_cv                      0.04 %          0.03 %             5 bytes_per_second=0.03% testdata/github_events.json
github_events/Decode_YYjson_mean                      82013 ns        81702 ns            5 bytes_per_second=760.26Mi/s testdata/github_events.json
github_events/Decode_YYjson_median                    81994 ns        81681 ns            5 bytes_per_second=760.451Mi/s testdata/github_events.json
github_events/Decode_YYjson_stddev                     58.8 ns         56.7 ns            5 bytes_per_second=540.243Ki/s testdata/github_events.json
github_events/Decode_YYjson_cv                         0.07 %          0.07 %             5 bytes_per_second=0.07% testdata/github_events.json
github_events/Decode_SIMDjson_mean                    16979 ns        16912 ns            5 bytes_per_second=3.58679Gi/s testdata/github_events.json
